issuer,segment,project_priority,hidden_mark_risk,bdc_bond_relevance,recovery_fragility,current_view,why_it_could_hurt_bdc_bonds,mark_blind_spot_reason,next_memo
Medallia,Experience management software,1,5,5,5,Live top-priority watch,Visible software stress case with major private-credit relevance and soft-asset recovery profile,Reported stress and markdown concern may still understate ultimate lender impairment or broader software-credit readthrough,medallia_memo.md
Finastra,Financial software,2,4,5,4,Systemically important watch,Large private-credit software loan could become a bellwether for marks and refi appetite across major lenders,Size and complexity can delay clear public deterioration while marks remain relatively sticky,finastra_memo.md
Kaseya,IT management / MSP software,3,4,4,4,High-priority follow-up,Large sponsor-backed software credit with integration and pricing questions that could pressure lender assumptions,Public narrative may still lean on stickiness while operational / integration strain is harder to mark early,kaseya_memo.md
Pluralsight,Tech learning software,4,2,5,5,Historical workout anchor,Useful precedent for what software-credit impairment can look like for lenders and public BDC holders,Much of the bad news is already recognized so it is less of a hidden-mark case than a teaching case,pluralsight_memo.md
Coupa,Spend management software,5,3,4,3,Important large-cap comp,Enterprise-spend sensitivity could matter if recurring-revenue software marks remain too complacent,Large-cap software franchises can still get the benefit of doubt in marks even when growth and exit-value assumptions weaken,coupa_memo.md
Anaplan,Enterprise planning software,6,3,4,3,Useful underwriting comp,Large direct-lender-backed software credit can help test whether planning software deserves premium recovery assumptions,Planning software can look sticky in underwriting but still be valuation-sensitive under slower growth,anaplan_memo.md
RealPage,Property management software,7,4,3,4,Special-situation watch,Regulatory and litigation overhang could create lender pain not obvious from recurring-revenue framing,Legal overhang can impair enterprise value before credit marks fully move,realpage_memo.md
Zendesk,Customer support software,8,4,5,4,AI-risk category watch,Support-software economics may face faster product pressure than marks currently imply and the name now has cleaner public BDC/vehicle relevance,AI compression risk may not flow quickly into lender marks if revenue still appears resilient,zendesk_memo.md
Avalara,Tax compliance software,9,2,3,2,Control-case watch,Useful contrast name because mission-critical software may actually deserve stronger marks and recoveries,If this name stays healthy while weaker categories wobble it helps separate real danger from generic software fear,avalara_memo.md
Citrix / Cloud Software Group,Enterprise infrastructure software,10,3,4,4,Structure-heavy comp,Complex capital structure can teach how layered software LBO debt behaves when financing windows close,Structural complexity often obscures where value leakage or recovery impairment will land,citrix_cloud_software_group_memo.md
